ub,lb,time,src
1.5006501308220897e6, 1.3438362095e6, 2.824005126953125, 0.0
1.5006501308220897e6, 1.3438362095000015e6, 10.497238159179688, 0.0
1.5006501308220897e6, 1.3438362095000027e6, 16.462017059326172, 0.0
1.5006501308220897e6, 1.3438362095000178e6, 17.983651161193848, 0.0
1.376851534922644e6, 1.3438362095000178e6, 61.978737115859985, 0.0
1.371738469443309e6, 1.3438362095000178e6, 82.16189098358154, 0.0
1.367153551693406e6, 1.3438362095000178e6, 82.16326999664307, 0.0
1.3648161529318348e6, 1.3438362095000178e6, 82.16473817825317, 0.0
1.3648161529318348e6, 1.3438362095002974e6, 393.0631170272827, 0.0
1.3648161529318348e6, 1.3438362095046304e6, 408.3265941143036, 0.0
1.3625565461589047e6, 1.3438362095046304e6, 505.9871530532837, 0.0
1.3578681157358105e6, 1.3438362095046304e6, 557.2636151313782, 0.0
1.356362828425859e6, 1.3438362095046304e6, 683.7085931301117, 0.0
1.3559126630616547e6, 1.3438362095046304e6, 683.7106161117554, 0.0
1.3559114526136871e6, 1.3438362095046304e6, 859.3447301387787, 0.0
1.3559114526136871e6, 1.3438362095046304e6, 900.0, 0.0
