ub,lb,time,src
1.0e100, 1.2855923799138847e6, 0.5806519985198975, 0.0
1.303437230229748e6, 1.2855923799138847e6, 0.7091109752655029, 1.0
1.303437230229748e6, 1.2869377998234206e6, 0.9290509223937988, 0.0
1.303437230229748e6, 1.2869377998234208e6, 2.3876099586486816, 0.0
1.303437230229748e6, 1.2869377998234215e6, 2.790308952331543, 0.0
1.303437230229748e6, 1.286937799823442e6, 3.0802390575408936, 0.0
1.302568409761666e6, 1.286937799823442e6, 4.45128607749939, 0.0
1.290179539423422e6, 1.286937799823442e6, 7.643366098403931, 1.0
1.2901795394234217e6, 1.286937799823442e6, 7.645941972732544, 0.0
1.2874803713238472e6, 1.286937799823442e6, 7.646162033081055, 1.0
1.287480371323847e6, 1.286937799823442e6, 7.648339033126831, 0.0
1.2874617136121243e6, 1.286937799823442e6, 9.549383878707886, 1.0
1.287414659803716e6, 1.286937799823442e6, 9.560277938842773, 1.0
1.2872180468393564e6, 1.286937799823442e6, 12.39933705329895, 1.0
1.2871597599356226e6, 1.286937799823442e6, 12.400372982025146, 1.0
1.287159759935623e6, 1.286937799823442e6, 12.401089906692505, 0.0
1.2871545501633948e6, 1.286937799823442e6, 12.401269912719727, 1.0
1.287119754388244e6, 1.286937799823442e6, 12.402031898498535, 1.0
1.2870813822881947e6, 1.286937799823442e6, 12.402760028839111, 1.0
1.2870813822881947e6, 1.2869377998234543e6, 22.04170799255371, 0.0
1.2870086451647421e6, 1.2869377998234543e6, 35.210262060165405, 1.0
1.2870086451647424e6, 1.2869377998234543e6, 35.21098208427429, 0.0
