incumbent,lb,time,rank
1.0e100, 1.8667009280328408e6, 1.3164806365966797, 0.0
1.0e100, 1.866700928032841e6, 1.5119571685791016, 0.0
1.0e100, 1.8667009280328418e6, 1.6336307525634766, 0.0
1.870286360639169e6, 1.8667009280328418e6, 3.3679943084716797, 1.0
1.870286360639169e6, 1.8667009280328418e6, 3.7788944244384766, 0.0
1.870286360639169e6, 1.866700928032842e6, 4.375299453735352, 0.0
1.870286360639169e6, 1.8667009280328494e6, 4.890922546386719, 0.0
1.8696500170035805e6, 1.8667009280328494e6, 22.631488800048828, 0.0
1.8702863606391698e6, 1.8667009280328494e6, 39.09048080444336, 1.0
1.8696500170035805e6, 1.8667009280328494e6, 39.09147834777832, 0.0
1.8696500170035805e6, 1.866700928032882e6, 73.13445472717285, 0.0
1.8696500170035805e6, 1.8667009280329065e6, 75.9269905090332, 0.0
1.868696740795972e6, 1.8667009280329065e6, 118.3465690612793, 1.0
1.8686967407959718e6, 1.8667009280329065e6, 118.34956169128418, 0.0
1.868635786605727e6, 1.8667009280329065e6, 125.81759262084961, 1.0
1.8684669917996922e6, 1.8667009280329065e6, 125.83155632019043, 1.0
1.8684669917996917e6, 1.8667009280329065e6, 125.83454895019531, 0.0
1.8683338255095156e6, 1.8667009280329065e6, 125.84751319885254, 1.0
1.868333825509515e6, 1.8667009280329065e6, 125.84950828552246, 0.0
1.8682275710410092e6, 1.8667009280329065e6, 125.86047744750977, 1.0
1.8682275710410087e6, 1.8667009280329065e6, 125.86347198486328, 0.0
1.8682198002119465e6, 1.8667009280329065e6, 148.7682285308838, 1.0
1.8681832845406225e6, 1.8667009280329065e6, 157.8379783630371, 1.0
1.868183284540622e6, 1.8667009280329065e6, 157.840970993042, 0.0
1.8677162039454e6, 1.8667009280329065e6, 180.9491844177246, 1.0
1.8677162039453995e6, 1.8667009280329065e6, 180.95317268371582, 0.0
1.8677094702154659e6, 1.8667009280329065e6, 186.1442928314209, 1.0
1.8677094702154652e6, 1.8667009280329065e6, 186.14728546142578, 0.0
1.8676964532725378e6, 1.8667009280329065e6, 226.18523406982422, 1.0
1.8676964532725373e6, 1.8667009280329065e6, 226.1882266998291, 0.0
1.867426049242886e6, 1.8667009280329065e6, 231.77329444885254, 1.0
1.8674260492428858e6, 1.8667009280329065e6, 231.7782802581787, 0.0
1.867238614318271e6, 1.8667009280329065e6, 277.9358654022217, 1.0
1.8672386143182702e6, 1.8667009280329065e6, 277.94085121154785, 0.0
1.8671246795914273e6, 1.8667009280329065e6, 285.4517707824707, 1.0
1.867124679591427e6, 1.8667009280329065e6, 285.4557590484619, 0.0
1.867052773870877e6, 1.8667009280329065e6, 301.1697425842285, 1.0
1.8670527738708768e6, 1.8667009280329065e6, 301.17373275756836, 0.0
1.867037211302307e6, 1.8667009280329065e6, 308.964900970459, 1.0
1.8670372113023065e6, 1.8667009280329065e6, 308.9688911437988, 0.0
1.867037211302307e6, 1.8667009280329065e6, 342.1162624359131, 1.0
1.8670372113023065e6, 1.8667009280329065e6, 342.11725997924805, 0.0
1.8669971185129548e6, 1.8667009280329065e6, 388.8622741699219, 1.0
1.8669971185129539e6, 1.8667009280329065e6, 388.868257522583, 0.0
1.8668650685671037e6, 1.8667009280329065e6, 396.8888130187988, 1.0
1.8668650685671032e6, 1.8667009280329065e6, 396.8947982788086, 0.0
