ub,lb,time,src
1.12170869313027e6, 1.101003084175558e6, 0.5685169696807861, 0.0
1.12170869313027e6, 1.1010030841755846e6, 0.7181999683380127, 0.0
1.12170869313027e6, 1.1010030841758703e6, 0.9134190082550049, 0.0
1.120464415933983e6, 1.1010030841758703e6, 2.208548069000244, 0.0
1.120397858019739e6, 1.1010030841758703e6, 2.209197998046875, 0.0
1.1120208738857764e6, 1.1010030841758703e6, 3.6697440147399902, 0.0
1.105801691563466e6, 1.1010030841758703e6, 4.7634711265563965, 0.0
1.105801691563466e6, 1.1010030841763038e6, 9.241120100021362, 0.0
1.105801691563466e6, 1.1010030842162326e6, 10.380671977996826, 0.0
1.1051898187649637e6, 1.1010030842162326e6, 21.317018032073975, 0.0
1.1034907557090488e6, 1.1010030842162326e6, 21.318278074264526, 0.0
1.1030596505087023e6, 1.1010030842162326e6, 23.3555850982666, 0.0
1.102653724420182e6, 1.1010030842162326e6, 26.374118089675903, 0.0
1.102436289361787e6, 1.1010030842162326e6, 30.50621509552002, 0.0
1.1024104238596554e6, 1.1010030842162326e6, 34.65858697891235, 0.0
1.1023996442272235e6, 1.1010030842162326e6, 34.659127950668335, 0.0
1.101514972291901e6, 1.1010030842162326e6, 36.29406809806824, 0.0
1.101472978737115e6, 1.1010030842162326e6, 45.43287110328674, 0.0
1.1014574803458862e6, 1.1010030842162326e6, 47.73695111274719, 0.0
1.1012060864439753e6, 1.1010030842162326e6, 47.73941206932068, 0.0
1.1011988896684563e6, 1.1010030842162326e6, 56.115787982940674, 0.0
1.1011867927197046e6, 1.1010030842162326e6, 56.12107801437378, 0.0
1.101152784258177e6, 1.1010030842162326e6, 56.12242317199707, 0.0
