ub,lb,time,src
1.1217086931306676e6, 1.0977824504063341e6, 0.4756481647491455, 0.0
1.1217086931306676e6, 1.0978403347330268e6, 0.5908980369567871, 0.0
1.1217086931306676e6, 1.1010030841755872e6, 0.6518731117248535, 0.0
1.1217086931306676e6, 1.1010030841755879e6, 1.1314020156860352, 0.0
1.1217086931306676e6, 1.1010030841755932e6, 1.3338730335235596, 0.0
1.1217086931306676e6, 1.1010030841755967e6, 1.7299280166625977, 0.0
1.1217086931306676e6, 1.1010030841756163e6, 1.7580690383911133, 0.0
1.1217086931306676e6, 1.101003084175631e6, 1.8772940635681152, 0.0
1.1216637423148109e6, 1.101003084175631e6, 2.9912781715393066, 0.0
1.1205032991126291e6, 1.101003084175631e6, 8.101027965545654, 0.0
1.1200371895416647e6, 1.101003084175631e6, 9.26754117012024, 0.0
1.1165451319736124e6, 1.101003084175631e6, 13.433465003967285, 0.0
1.1117993425611986e6, 1.101003084175631e6, 20.258973121643066, 0.0
1.108238975539937e6, 1.101003084175631e6, 21.701892137527466, 0.0
1.1074088898967092e6, 1.101003084175631e6, 39.17981505393982, 0.0
1.107343944778296e6, 1.101003084175631e6, 41.314666986465454, 0.0
1.1045921106871811e6, 1.101003084175631e6, 80.72573804855347, 0.0
1.1043124519190157e6, 1.101003084175631e6, 86.23702001571655, 0.0
1.1036895249258538e6, 1.101003084175631e6, 124.44103217124939, 0.0
1.1033924079683938e6, 1.101003084175631e6, 129.16976809501648, 0.0
1.103390161569062e6, 1.101003084175631e6, 137.58939504623413, 0.0
1.1033857543016348e6, 1.101003084175631e6, 146.3899359703064, 0.0
1.1033770347684843e6, 1.101003084175631e6, 349.8813741207123, 0.0
1.1033738850069472e6, 1.101003084175631e6, 388.301185131073, 0.0
1.1033248357445756e6, 1.101003084175631e6, 472.3616280555725, 0.0
1.1032949608436695e6, 1.101003084175631e6, 486.24436497688293, 0.0
1.1032949608436695e6, 1.101003084175631e6, 900.0, 0.0
