incumbent,lb,time,rank
1.0e100, 1.2463652909638507e6, 0.8791370391845703, 0.0
1.0e100, 1.246365290963851e6, 1.0387115478515625, 0.0
1.0e100, 1.2463652909638523e6, 1.7009410858154297, 0.0
1.0e100, 1.2463652909638537e6, 2.6154937744140625, 0.0
1.2829989513888275e6, 1.2463652909638537e6, 64.49205207824707, 0.0
1.2607015195959604e6, 1.2463652909638537e6, 80.18808364868164, 0.0
1.2607015195959604e6, 1.246365290963855e6, 81.15350341796875, 0.0
1.2561689594495522e6, 1.246365290963855e6, 109.26932716369629, 0.0
1.251248615146514e6, 1.246365290963855e6, 109.27032279968262, 0.0
1.2495120910267932e6, 1.246365290963855e6, 117.30284690856934, 0.0
1.2485949420325842e6, 1.246365290963855e6, 132.56105041503906, 0.0
1.2470878060569984e6, 1.246365290963855e6, 132.57102394104004, 0.0
1.2470878060569984e6, 1.2463652909638616e6, 183.06601333618164, 0.0
1.2465083153584471e6, 1.2463652909638616e6, 232.3292942047119, 0.0
1.2464524226563023e6, 1.2463652909638616e6, 308.0368709564209, 0.0
1.2464524226563023e6, 1.2463652909638616e6, 308.0368709564209, 0.0
