time,gen,forecast_day_ahead
2019-04-07T23:00:00.0,715,559
2019-04-08T00:00:00.0,660,573
2019-04-08T01:00:00.0,644,563
2019-04-08T02:00:00.0,526,440
2019-04-08T03:00:00.0,532,442
2019-04-08T04:00:00.0,599,489
2019-04-08T05:00:00.0,827,673
2019-04-08T06:00:00.0,943,798
2019-04-08T07:00:00.0,817,705
2019-04-08T08:00:00.0,793,659
2019-04-08T09:00:00.0,742,549
2019-04-08T10:00:00.0,533,472
2019-04-08T11:00:00.0,432,423
2019-04-08T12:00:00.0,374,385
2019-04-08T13:00:00.0,389,376
2019-04-08T14:00:00.0,424,405
2019-04-08T15:00:00.0,522,444
2019-04-08T16:00:00.0,489,493
2019-04-08T17:00:00.0,492,541
2019-04-08T18:00:00.0,539,572
2019-04-08T19:00:00.0,570,577
2019-04-08T20:00:00.0,620,562
2019-04-08T21:00:00.0,630,527
2019-04-08T22:00:00.0,531,482
2019-04-08T23:00:00.0,392,442
2019-04-09T00:00:00.0,335,277
2019-04-09T01:00:00.0,385,313
2019-04-09T02:00:00.0,459,377
2019-04-09T03:00:00.0,507,409
2019-04-09T04:00:00.0,563,440
2019-04-09T05:00:00.0,629,511
2019-04-09T06:00:00.0,692,571
2019-04-09T07:00:00.0,819,675
2019-04-09T08:00:00.0,804,609
2019-04-09T09:00:00.0,675,472
2019-04-09T10:00:00.0,540,404
2019-04-09T11:00:00.0,414,368
2019-04-09T12:00:00.0,340,334
2019-04-09T13:00:00.0,298,312
2019-04-09T14:00:00.0,333,314
2019-04-09T15:00:00.0,395,335
2019-04-09T16:00:00.0,463,381
2019-04-09T17:00:00.0,555,450
2019-04-09T18:00:00.0,625,502
2019-04-09T19:00:00.0,601,542
2019-04-09T20:00:00.0,595,564
2019-04-09T21:00:00.0,545,570
2019-04-09T22:00:00.0,546,553
2019-04-09T23:00:00.0,442,516
2019-04-10T00:00:00.0,378,358
2019-04-10T01:00:00.0,422,404
2019-04-10T02:00:00.0,428,409
2019-04-10T03:00:00.0,371,357
2019-04-10T04:00:00.0,400,369
2019-04-10T05:00:00.0,420,418
2019-04-10T06:00:00.0,333,319
2019-04-10T07:00:00.0,393,369
2019-04-10T08:00:00.0,296,298
2019-04-10T09:00:00.0,233,237
2019-04-10T10:00:00.0,264,204
2019-04-10T11:00:00.0,267,175
2019-04-10T12:00:00.0,259,149
2019-04-10T13:00:00.0,241,128
2019-04-10T14:00:00.0,204,115
2019-04-10T15:00:00.0,212,112
2019-04-10T16:00:00.0,246,115
2019-04-10T17:00:00.0,301,122
2019-04-10T18:00:00.0,251,130
2019-04-10T19:00:00.0,277,140
2019-04-10T20:00:00.0,318,164
2019-04-10T21:00:00.0,308,208
2019-04-10T22:00:00.0,234,206
2019-04-10T23:00:00.0,178,196
2019-04-11T00:00:00.0,132,126
2019-04-11T01:00:00.0,98,103
2019-04-11T02:00:00.0,95,85
2019-04-11T03:00:00.0,122,117
2019-04-11T04:00:00.0,142,131
2019-04-11T05:00:00.0,195,183
2019-04-11T06:00:00.0,247,235
2019-04-11T07:00:00.0,311,294
2019-04-11T08:00:00.0,343,300
2019-04-11T09:00:00.0,264,228
2019-04-11T10:00:00.0,188,123
2019-04-11T11:00:00.0,142,81
2019-04-11T12:00:00.0,138,68
2019-04-11T13:00:00.0,155,60
2019-04-11T14:00:00.0,139,63
2019-04-11T15:00:00.0,107,75
2019-04-11T16:00:00.0,89,93
2019-04-11T17:00:00.0,102,116
2019-04-11T18:00:00.0,137,135
2019-04-11T19:00:00.0,178,148
2019-04-11T20:00:00.0,216,156
